Aperture;ExposureTime;DevelopTime;MaskDimension;EtchTime;Yield
small;-20;30;Small;14.5;7
large;-20;30;Small;14.5;9
small;20;30;Small;14.5;34
large;20;30;Small;14.5;55
small;-20;45;Small;14.5;16
large;-20;45;Small;14.5;20
small;20;45;Small;14.5;40
large;20;45;Small;14.5;60
small;-20;30;Large;14.5;8
large;-20;30;Large;14.5;10
small;20;30;Large;14.5;32
large;20;30;Large;14.5;50
small;-20;45;Large;14.5;18
large;-20;45;Large;14.5;21
small;20;45;Large;14.5;44
large;20;45;Large;14.5;61
small;-20;30;Small;15.5;8
large;-20;30;Small;15.5;12
small;20;30;Small;15.5;35
large;20;30;Small;15.5;52
small;-20;45;Small;15.5;15
large;-20;45;Small;15.5;22
small;20;45;Small;15.5;45
large;20;45;Small;15.5;65
small;-20;30;Large;15.5;6
large;-20;30;Large;15.5;10
small;20;30;Large;15.5;30
large;20;30;Large;15.5;53
small;-20;45;Large;15.5;15
large;-20;45;Large;15.5;20
small;20;45;Large;15.5;41
large;20;45;Large;15.5;63
small;0;37.5;Small;15;68
large;0;37.5;Small;15;74
small;0;37.5;Large;15;76
large;0;37.5;Large;15;70
