block,section,plot,climate,fert,variety,rate,level
1,1,1,2,2,aminex,48.8981,0.06915
1,1,1,2,2,dalibor,42.2463,0.06595
1,1,2,2,3.5,aminex,48.2108,0.04679
1,1,2,2,3.5,dalibor,41.6767,0.04881
1,1,3,2,4,aminex,55.4369,0.04025
1,1,3,2,4,dalibor,40.9562,0.04859
1,2,4,1,2,aminex,51.5573,0.09353
1,2,4,1,2,dalibor,36.7739,0.10353
1,2,5,1,3.5,aminex,47.9937,0.05327
1,2,5,1,3.5,dalibor,47.8723,0.04397
1,2,6,1,4,aminex,57.9171,0.05225
1,2,6,1,4,dalibor,37.7185,0.09324
2,3,7,2,2,aminex,60.1747,0.04182
2,3,7,2,2,dalibor,45.6937,0.06983
2,3,8,2,3.5,aminex,51.0017,0.08863
2,3,8,2,3.5,dalibor,52.2796,0.03622
2,3,9,2,4,aminex,51.1251,0.05875
2,3,9,2,4,dalibor,48.7217,0.08169
2,4,10,1,2,aminex,51.6001,0.07001
2,4,10,1,2,dalibor,50.4463,0.09907
2,4,11,1,3.5,aminex,48.3387,0.05788
2,4,11,1,3.5,dalibor,38.6538,0.06834
2,4,12,1,4,aminex,51.3147,0.05695
2,4,12,1,4,dalibor,38.2488,0.07908
3,5,13,1,2,aminex,49.6958,0.07218
3,5,13,1,2,dalibor,29.6786,0.11351
3,5,14,1,3.5,aminex,46.6692,0.08825
3,5,14,1,3.5,dalibor,36.5892,0.09107
3,5,15,1,4,aminex,56.032,0.04532
3,5,15,1,4,dalibor,36.0955,0.08712
3,6,16,2,2,aminex,45.979,0.08882
3,6,16,2,2,dalibor,37.2489,0.12796
3,6,17,2,3.5,aminex,40.7277,0.06418
3,6,17,2,3.5,dalibor,38.4831,0.0854
3,6,18,2,4,aminex,44.5242,0.06215
3,6,18,2,4,dalibor,34.3907,0.09651
