block,variety,fertil,yield
1,v1,n0,111
1,v1,n1,130
1,v1,n2,157
1,v1,n3,174
1,v2,n0,117
1,v2,n1,114
1,v2,n2,161
1,v2,n3,141
1,v3,n0,105
1,v3,n1,140
1,v3,n2,118
1,v3,n3,156
2,v1,n0,62
2,v1,n1,90
2,v1,n2,100
2,v1,n3,116
2,v2,n0,80
2,v2,n1,82
2,v2,n2,94
2,v2,n3,126
2,v3,n0,63
2,v3,n1,70
2,v3,n2,109
2,v3,n3,99
3,v1,n0,74
3,v1,n1,89
3,v1,n2,81
3,v1,n3,122
3,v2,n0,64
3,v2,n1,103
3,v2,n2,132
3,v2,n3,133
3,v3,n0,70
3,v3,n1,89
3,v3,n2,104
3,v3,n3,117
4,v1,n0,68
4,v1,n1,64
4,v1,n2,112
4,v1,n3,86
4,v2,n0,60
4,v2,n1,102
4,v2,n2,89
4,v2,n3,96
4,v3,n0,89
4,v3,n1,129
4,v3,n2,132
4,v3,n3,124
5,v1,n0,61
5,v1,n1,91
5,v1,n2,97
5,v1,n3,100
5,v2,n0,70
5,v2,n1,108
5,v2,n2,126
5,v2,n3,149
5,v3,n0,96
5,v3,n1,124
5,v3,n2,121
5,v3,n3,144
6,v1,n0,53
6,v1,n1,74
6,v1,n2,118
6,v1,n3,113
6,v2,n0,89
6,v2,n1,82
6,v2,n2,86
6,v2,n3,104
6,v3,n0,97
6,v3,n1,99
6,v3,n2,119
6,v3,n3,121
