variety,bathno,conduct,rootno,rootwt
h,1,1,9,0.0096
h,1,1,4,0.001
h,1,1,5,0.0007
h,1,1,6,0.0069
h,1,1,7,0.0116
h,1,1,3,0.0102
h,1,1,5,0.0011
h,1,1,10,0.0116
h,1,1,9,0.0167
h,1,1,10,0.0309
h,5,1,6,0.0123
h,5,1,8,0.0025
h,5,1,7,0.0148
h,5,1,8,0.0161
h,5,1,8,0.0151
h,5,1,7,0.0149
h,5,1,11,0.0226
h,5,1,9,0.0179
h,5,1,8,0.0172
h,5,1,11,0.02
h,7,1,3,0.0058
h,7,1,7,0.0061
h,7,1,7,0.0009
h,7,1,4,0.0012
h,7,1,9,
h,7,1,6,0.0138
h,7,1,10,0.0232
h,7,1,7,0.0114
h,7,1,7,0.0077
h,7,1,5,0.0017
h,12,1,4,0.0102
h,12,1,7,0.0019
h,12,1,10,0.0153
h,12,1,8,0.0029
h,12,1,3,0.0003
h,12,1,3,0.0001
h,12,1,11,0.0282
h,12,1,10,0.0266
h,12,1,11,0.0281
h,12,1,13,0.0313
h,4,2,0,0
h,4,2,9,0.035
h,4,2,0,0
h,4,2,10,0.0185
h,4,2,9,0.0238
h,4,2,6,0.0189
h,4,2,12,0.0309
h,4,2,0,0
h,4,2,7,0.0178
h,4,2,0,0
h,6,2,13,0.0297
h,6,2,12,0.0243
h,6,2,10,0.0099
h,6,2,9,0.0122
h,6,2,14,0.0232
h,6,2,5,0.0115
h,6,2,18,0.0306
h,6,2,12,0.0301
h,6,2,9,0.0144
h,6,2,8,0.0222
h,14,2,13,0.0246
h,14,2,20,0.0414
h,14,2,15,0.0305
h,14,2,14,0.0234
h,14,2,16,0.0349
h,14,2,18,0.0267
h,14,2,10,0.0275
h,14,2,18,0.0317
h,14,2,17,0.0337
h,14,2,11,0.0249
h,16,2,10,0.0155
h,16,2,8,0.0178
h,16,2,18,0.0438
h,16,2,12,0.0206
h,16,2,9,0.0297
h,16,2,19,0.0245
h,16,2,4,0.0118
h,16,2,11,0.0205
h,16,2,10,0.0278
h,16,2,11,0.0267
h,9,3,7,0.0184
h,9,3,6,0.0151
h,9,3,12,0.0418
h,9,3,8,0.0184
h,9,3,9,0.0273
h,9,3,17,0.0393
h,9,3,8,0.0205
h,9,3,20,0.0421
h,9,3,9,0.0245
h,9,3,13,0.0432
h,11,3,16,0.0237
h,11,3,8,0.0257
h,11,3,7,0.0023
h,11,3,15,0.0341
