pigno,phgroup,cooling,sarcomer,tender
73,3,FC,1.62125,8.44
73,3,TC,1.59125,8.44
74,3,FC,1.52875,7.11
74,3,TC,1.533,6
75,3,FC,1.5,6
75,3,TC,1.48125,5.78
76,3,FC,1.54875,7.56
76,3,TC,1.46625,7.67
77,2,FC,1.4575,7.22
77,2,TC,1.4925,5.56
78,3,FC,1.45375,5.11
78,3,TC,1.50875,4.56
79,2,FC,1.405,3.11
79,2,TC,1.39875,3.33
80,3,FC,1.50625,8.67
80,3,TC,1.55625,8
81,2,FC,1.58,7.44
81,2,TC,1.495,7
82,2,FC,1.635,4.33
82,2,TC,1.60875,4.89
83,2,FC,1.6475,6.78
83,2,TC,1.53875,6.56
84,2,FC,1.57375,5.56
84,2,TC,1.5675,5.67
85,2,FC,1.61875,7.33
85,2,TC,1.595,6.33
86,2,FC,1.57,4.22
86,2,TC,1.52125,5.67
87,3,FC,1.58,5.78
87,3,TC,1.5875,7.67
88,3,FC,1.59875,6.11
88,3,TC,1.525,5.67
89,3,FC,1.5675,7.44
89,3,TC,1.64625,7.56
90,2,FC,1.555,3.89
90,2,TC,1.59875,4
91,3,FC,1.66,7.67
91,3,TC,1.67375,6.11
92,3,FC,1.6725,8
92,3,TC,1.55875,8.22
93,3,FC,1.69,8.78
93,3,TC,1.5575,8.44
94,2,FC,1.545,5.78
94,2,TC,1.5725,5.56
95,2,FC,1.67625,6.44
95,2,TC,1.6175,5.67
96,2,FC,1.51125,8
96,2,TC,1.52875,5.33
