Treatm,Level,group,rep,hist0,hist1,hist3,hist5
morphine,intact,1,1,0.04,0.2,0.1,0.08
morphine,intact,1,2,0.02,0.06,0.02,0.02
morphine,intact,1,3,0.07,1.4,0.48,0.24
morphine,intact,1,4,0.17,0.57,0.35,0.24
morphine,deplet,2,1,0.1,0.09,0.13,0.14
morphine,deplet,2,2,0.12,0.11,0.1,
morphine,deplet,2,3,0.07,0.07,0.07,0.07
morphine,deplet,2,4,0.05,0.07,0.06,0.07
trimetha,intact,3,1,0.03,0.62,0.31,0.22
trimetha,intact,3,2,0.03,1.05,0.73,0.6
trimetha,intact,3,3,0.07,0.83,1.07,0.8
trimetha,intact,3,4,0.09,3.13,2.06,1.23
trimetha,deplet,4,1,0.1,0.09,0.09,0.08
trimetha,deplet,4,2,0.08,0.09,0.09,0.1
trimetha,deplet,4,3,0.13,0.1,0.12,0.12
trimetha,deplet,4,4,0.06,0.05,0.05,0.05
