water,temp,rep,maill4,maill6,maill8,taste4,taste6,taste8
1,100,1,2.9,2.13,2.39,10.1,10,9.6
1,100,2,2.19,2.2,2.27,11,9.3,11
1,100,3,2.13,2.2,2.41,10.1,7,9.6
1,110,1,2.13,2.34,2.41,11,10.5,9.8
1,110,2,2.32,2.27,2.25,11,11.3,11.2
1,110,3,2.13,2.34,2.42,9.4,10.7,9
1,120,1,2,2.49,2.71,11.1,11.2,11.4
1,120,2,2.41,2.49,2.46,11.6,11.7,9.6
1,120,3,2.22,2.49,2.73,10.7,10.3,10.2
2,100,1,2.13,2.41,2.49,11.1,10.8,11.2
2,100,2,2.49,2.34,2.53,11.1,11.2,9.2
2,100,3,2.8,2.63,3.33,8.3,9.7,7.8
2,120,1,2.38,2.85,2.06,11.9,11.2,11.2
2,120,2,2.61,2.7,2.7,11.7,10.8,11
2,120,3,2.77,3.06,3.25,10.9,9,9.4
2,140,1,2.56,2.84,3.1,10.7,11.2,9.8
2,140,2,2.63,2.61,2.81,10.8,11,11.6
2,140,3,2.99,3.28,3.75,9.2,9.6,9.6
3,100,1,2.6,2.24,2.32,10.8,8.4,10.8
3,100,2,2.06,2.11,2.2,11,11.2,11.8
3,100,3,1.98,2.34,2.8,10.3,10.2,10.6
3,110,1,1.91,2.06,2.29,11,11.4,9.4
3,110,2,1.98,1.98,2.15,10,11.8,10.6
3,110,3,1.98,2.51,2.81,9.3,9.2,10.2
3,140,1,2.27,2.42,2.72,10.8,11.6,12
3,140,2,2.27,2.2,2.41,11.2,11,11.4
3,140,3,2.2,2.77,3.06,10.5,10.2,10
