treatm,litter,pigno,ph30,ph45,ph60,ph75,ph90,ph105,ph120,ph150,ph180,ph210,ph240,ph270,ph300,ph330,ph360,ph390,ph420,ph450,ph480,ph1440
1,2,21,6.45,6.32,6.17,6.06,6.02,5.98,5.94,5.85,5.8,5.76,5.71,5.63,5.59,5.52,5.49,5.47,5.45,5.44,5.43,5.43
2,2,22,6.07,5.94,5.82,5.72,5.62,5.54,5.47,5.38,5.37,5.34,5.34,5.35,5.31,5.31,5.32,5.32,5.33,5.33,5.34,5.34
1,4,41,6.77,6.66,6.67,6.58,6.54,6.49,6.45,6.4,6.35,6.28,6.24,6.19,6.15,6.11,6.05,6,5.96,5.91,5.89,5.66
2,4,42,6.8,6.58,6.46,6.41,6.37,6.33,6.28,6.23,6.18,6.1,6.05,6.01,5.96,5.91,5.89,5.83,5.79,5.77,5.75,5.65
1,5,51,6.76,6.71,6.53,6.43,6.37,6.3,6.25,6.18,6.14,6.1,6.06,6.02,5.98,5.94,5.91,5.87,5.78,5.76,5.74,5.65
2,5,52,6.54,6.43,6.3,6.21,6.15,6.12,6.08,6.03,5.98,5.93,5.88,5.85,5.8,5.75,5.72,5.62,5.59,5.58,5.57,5.53
1,6,61,6.61,6.43,6.32,6.24,6.16,6.12,6.06,6,5.93,5.87,5.8,5.76,5.71,5.67,5.62,5.6,5.59,5.56,5.55,5.43
2,6,62,6.09,5.77,5.64,5.5,5.42,5.41,5.4,5.39,5.39,5.38,5.39,5.4,5.41,5.41,5.41,5.41,5.42,5.43,5.43,5.46
1,8,81,6.58,6.41,6.23,6.05,5.98,5.92,5.87,5.77,5.68,5.63,5.56,5.54,5.54,5.53,5.52,5.52,5.52,5.53,5.53,5.38
2,8,82,6.59,6.45,6.35,6.26,6.2,6.16,6.11,6.05,5.97,5.87,5.82,5.78,5.74,5.71,5.69,5.67,5.65,5.64,5.64,5.49
1,10,101,6.64,6.47,6.38,6.35,6.28,6.23,6.2,6.14,6.1,6.1,6.05,6.02,5.99,5.96,5.92,5.89,5.86,5.84,5.82,5.61
2,10,102,6.4,6.16,6.07,5.99,5.92,5.87,5.78,5.73,5.68,5.59,5.54,5.49,5.49,5.45,5.46,5.48,5.48,5.51,5.5,5.46
