
treatm litter  pigno  min         ph  
1      2       21     30        6.45 
1      2       21     45        6.32                
1      2       21     60        6.17                
1      2       21     75        6.06                
1      2       21     90        6.02                
1      2       21     105       5.98                
1      2       21     120       5.94                
1      2       21     150       5.85                
1      2       21     180       5.80                
1      2       21     210       5.76                
1      2       21     240       5.71                
1      2       21     270       5.63                
1      2       21     300       5.59                
1      2       21     330       5.52                
1      2       21     360       5.49                
1      2       21     390       5.47                
1      2       21     420       5.45                
1      2       21     450       5.44                
1      2       21     480       5.43                
1      2       21     1440      5.43                
2      2       22     30        6.07 
2      2       22     45        5.94 
2      2       22     60        5.82 
2      2       22     75        5.72 
2      2       22     90        5.62 
2      2       22     105       5.54 
2      2       22     120       5.47 
2      2       22     150       5.38 
2      2       22     180       5.37 
2      2       22     210       5.34 
2      2       22     240       5.34 
2      2       22     270       5.35 
2      2       22     300       5.31 
2      2       22     330       5.31 
2      2       22     360       5.32 
2      2       22     390       5.32 
2      2       22     420       5.33 
2      2       22     450       5.33 
2      2       22     480       5.34 
2      2       22     1440      5.34 
1      4       41     30        6.77
1      4       41     45        6.66
1      4       41     60        6.67
1      4       41     75        6.58
1      4       41     90        6.54
1      4       41     105       6.49
1      4       41     120       6.45
1      4       41     150       6.40
1      4       41     180       6.35
1      4       41     210       6.28
1      4       41     240       6.24
1      4       41     270       6.19
1      4       41     300       6.15
1      4       41     330       6.11
1      4       41     360       6.05
1      4       41     390       6.00
1      4       41     420       5.96
1      4       41     450       5.91
1      4       41     480       5.89
1      4       41     1440      5.66
2      4       42     30        6.80
2      4       42     45        6.58
2      4       42     60        6.46
2      4       42     75        6.41
2      4       42     90        6.37
2      4       42     105       6.33
2      4       42     120       6.28
2      4       42     150       6.23
2      4       42     180       6.18
2      4       42     210       6.10
2      4       42     240       6.05
2      4       42     270       6.01
2      4       42     300       5.96
2      4       42     330       5.91
2      4       42     360       5.89
2      4       42     390       5.83
2      4       42     420       5.79
2      4       42     450       5.77
2      4       42     480       5.75
2      4       42     1440      5.65
1      5       51     30        6.76 
1      5       51     45        6.71 
1      5       51     60        6.53 
1      5       51     75        6.43 
1      5       51     90        6.37 
1      5       51     105       6.30 
1      5       51     120       6.25 
1      5       51     150       6.18 
1      5       51     180       6.14 
1      5       51     210       6.10 
1      5       51     240       6.06 
1      5       51     270       6.02 
1      5       51     300       5.98 
1      5       51     330       5.94 
1      5       51     360       5.91 
1      5       51     390       5.87 
1      5       51     420       5.78 
1      5       51     450       5.76 
1      5       51     480       5.74 
1      5       51     1440      5.65 
2      5       52     30        6.54  
2      5       52     45        6.43  
2      5       52     60        6.30  
2      5       52     75        6.21  
2      5       52     90        6.15  
2      5       52     105       6.12  
2      5       52     120       6.08  
2      5       52     150       6.03  
2      5       52     180       5.98  
2      5       52     210       5.93  
2      5       52     240       5.88  
2      5       52     270       5.85  
2      5       52     300       5.80  
2      5       52     330       5.75  
2      5       52     360       5.72  
2      5       52     390       5.62  
2      5       52     420       5.59  
2      5       52     450       5.58  
2      5       52     480       5.57  
2      5       52     1440      5.53  
1      6       61     30        6.61 
1      6       61     45        6.43 
1      6       61     60        6.32 
1      6       61     75        6.24 
1      6       61     90        6.16 
1      6       61     105       6.12 
1      6       61     120       6.06 
1      6       61     150       6.00 
1      6       61     180       5.93 
1      6       61     210       5.87 
1      6       61     240       5.80 
1      6       61     270       5.76 
1      6       61     300       5.71 
1      6       61     330       5.67 
1      6       61     360       5.62 
1      6       61     390       5.60 
1      6       61     420       5.59 
1      6       61     450       5.56 
1      6       61     480       5.55 
1      6       61     1440      5.43 
2      6       62     30        6.09
2      6       62     45        5.77
2      6       62     60        5.64
2      6       62     75        5.50
2      6       62     90        5.42
2      6       62     105       5.41
2      6       62     120       5.40
2      6       62     150       5.39
2      6       62     180       5.39
2      6       62     210       5.38
2      6       62     240       5.39
2      6       62     270       5.40
2      6       62     300       5.41
2      6       62     330       5.41
2      6       62     360       5.41
2      6       62     390       5.41
2      6       62     420       5.42
2      6       62     450       5.43
2      6       62     480       5.43
2      6       62     1440      5.46
1      8       81     30        6.58 
1      8       81     45        6.41 
1      8       81     60        6.23 
1      8       81     75        6.05 
1      8       81     90        5.98 
1      8       81     105       5.92 
1      8       81     120       5.87 
1      8       81     150       5.77 
1      8       81     180       5.68 
1      8       81     210       5.63 
1      8       81     240       5.56 
1      8       81     270       5.54 
1      8       81     300       5.54 
1      8       81     330       5.53 
1      8       81     360       5.52 
1      8       81     390       5.52 
1      8       81     420       5.52 
1      8       81     450       5.53 
1      8       81     480       5.53 
1      8       81     1440      5.38 
2      8       82     30        6.59       
2      8       82     45        6.45       
2      8       82     60        6.35       
2      8       82     75        6.26       
2      8       82     90        6.20       
2      8       82     105       6.16       
2      8       82     120       6.11       
2      8       82     150       6.05       
2      8       82     180       5.97       
2      8       82     210       5.87       
2      8       82     240       5.82       
2      8       82     270       5.78       
2      8       82     300       5.74       
2      8       82     330       5.71       
2      8       82     360       5.69       
2      8       82     390       5.67       
2      8       82     420       5.65       
2      8       82     450       5.64       
2      8       82     480       5.64       
2      8       82     1440      5.49       
1     10       101    30        6.64
1     10       101    45        6.47
1     10       101    60        6.38
1     10       101    75        6.35
1     10       101    90        6.28
1     10       101    105       6.23
1     10       101    120       6.20
1     10       101    150       6.14
1     10       101    180       6.10
1     10       101    210       6.10
1     10       101    240       6.05
1     10       101    270       6.02
1     10       101    300       5.99
1     10       101    330       5.96
1     10       101    360       5.92
1     10       101    390       5.89
1     10       101    420       5.86
1     10       101    450       5.84
1     10       101    480       5.82
1     10       101    1440      5.61
2     10       102    30        6.40 
2     10       102    45        6.16 
2     10       102    60        6.07 
2     10       102    75        5.99 
2     10       102    90        5.92 
2     10       102    105       5.87 
2     10       102    120       5.78 
2     10       102    150       5.73 
2     10       102    180       5.68 
2     10       102    210       5.59 
2     10       102    240       5.54 
2     10       102    270       5.49 
2     10       102    300       5.49 
2     10       102    330       5.45 
2     10       102    360       5.46 
2     10       102    390       5.48 
2     10       102    420       5.48 
2     10       102    450       5.51 
2     10       102    480       5.50 
2     10       102    1440      5.46 
