n_estimators,min_samples_split,max_features,max_depth,criterion,bootstrap,accuracy
400,2,sqrt,20,entropy,True,0.7684243147866738
400,2,sqrt,20,entropy,False,0.7601476236644397
400,2,sqrt,20,gini,True,0.768608471453073
400,2,sqrt,20,gini,False,0.7628459557934
400,2,sqrt,40,entropy,True,0.7672329151592627
400,2,sqrt,40,entropy,False,0.7556272831680717
400,2,sqrt,40,gini,True,0.7675900116499952
400,2,sqrt,40,gini,False,0.7585091519653873
400,2,log2,20,entropy,True,0.7674015212600859
400,2,log2,20,entropy,False,0.760477572104606
400,2,log2,20,gini,True,0.7695356262794589
400,2,log2,20,gini,False,0.7649289077242923
400,2,log2,40,entropy,True,0.7668671335632837
400,2,log2,40,entropy,False,0.7565086977660845
400,2,log2,40,gini,True,0.766814369998156
400,2,log2,40,gini,False,0.7575188392405976
400,6,sqrt,20,entropy,True,0.7672687192102081
400,6,sqrt,20,entropy,False,0.7633185448433829
400,6,sqrt,20,gini,True,0.7673666395699426
400,6,sqrt,20,gini,False,0.7643980175460857
400,6,sqrt,40,entropy,True,0.7678649020340454
400,6,sqrt,40,entropy,False,0.7598086890886133
400,6,sqrt,40,gini,True,0.7662077468148875
400,6,sqrt,40,gini,False,0.7629913235274064
400,6,log2,20,entropy,True,0.7696586892229418
400,6,log2,20,entropy,False,0.7624791263203872
400,6,log2,20,gini,True,0.7676763812271126
400,6,log2,20,gini,False,0.7653456130148442
400,6,log2,40,entropy,True,0.7668760624685469
400,6,log2,40,entropy,False,0.7588285739932272
400,6,log2,40,gini,True,0.7690728444776895
400,6,log2,40,gini,False,0.7604658294298651
500,2,sqrt,20,entropy,True,0.7693424544902607
500,2,sqrt,20,entropy,False,0.7580191502655845
500,2,sqrt,20,gini,True,0.7690707012828497
500,2,sqrt,20,gini,False,0.7626032501195514
500,2,sqrt,40,entropy,True,0.766211127629222
500,2,sqrt,40,entropy,False,0.7561675263076576
500,2,sqrt,40,gini,True,0.7684010837397817
500,2,sqrt,40,gini,False,0.7575799787970621
500,2,log2,20,entropy,True,0.7687715250016696
500,2,log2,20,entropy,False,0.758725308562872
500,2,log2,20,gini,True,0.769680988532387
500,2,log2,20,gini,False,0.7635300228168325
500,2,log2,40,entropy,True,0.7674572141769098
500,2,log2,40,entropy,False,0.7570562523195805
500,2,log2,40,gini,True,0.7673836930798424
500,2,log2,40,gini,False,0.7587708018624639
500,6,sqrt,20,entropy,True,0.7665375294130834
500,6,sqrt,20,entropy,False,0.7638553090344121
500,6,sqrt,20,gini,True,0.768085825844246
500,6,sqrt,20,gini,False,0.7644640422514904
500,6,sqrt,40,entropy,True,0.7689952150097246
500,6,sqrt,40,entropy,False,0.7603129967520479
500,6,sqrt,40,gini,True,0.7680562468662672
500,6,sqrt,40,gini,False,0.760906948524925
500,6,log2,20,entropy,True,0.766682402460025
500,6,log2,20,entropy,False,0.7635927705244245
500,6,log2,20,gini,True,0.7679175649271293
500,6,log2,20,gini,False,0.7653585435792521
500,6,log2,40,entropy,True,0.7683100510497779
500,6,log2,40,entropy,False,0.7590275387612627
500,6,log2,40,gini,True,0.767403191258681
500,6,log2,40,gini,False,0.7624922028280267
